id,title,author,genre,summary,isCheckedOut,cover
142,A Different Pond,Bao Phi,fiction,"A Different Pond is a 2017 children's picture book by Bao Phi, illustrated by Thi Bui. The book tells the story of a boy and his father going fishing. Phi created the book because of his desire to have books about people like himself to read to his daughter.",FALSE,
96,A Tale For The Time Being,Ruth Ozeki,fiction,"A Tale for the Time Being is a metafictional novel by Ruth Ozeki narrated by two characters, a sixteen-year-old Japanese American girl living in Tokyo who keeps a diary, and a Japanese American writer living on an island off the coast of British Columbia who finds the diary of the young woman washed ashore some time after the 2011 tsunami that devastated Japan",FALSE,
33,Agile Testing,Addison Wesley,educational,,FALSE,
83,Agile Testing,"Crispin, Gregory",educational,,FALSE,
112,Alexander Hamilton,Ron Chernow,non-fiction,"Pulitzer Prize-winning author Ron Chernow presents a landmark biography of Alexander Hamilton, the Founding Father who galvanized, inspired, scandalized, and shaped the newborn nation.",FALSE,
95,Another Country,James Baldwin,fiction,,FALSE,
11,Becoming a Resonant Leader,"Annie Mckee, Richard Boyatzis, Frances Johnston",self-help,,FALSE,
73,BizTalk Server 2006,Jefford Smith Fairweather,educational,,FALSE,
135,Black Girl Dangerous,Mia Mckenzie,non-fiction,,FALSE,
146,Black’s Law Dictionary,Bryan A. Garner,educational,,FALSE,
25,Bootstrap Methods and their Application,Davison Hinkley,educational,,FALSE,
20,"Buddha’s Brain: The Practical Neuroscience of Happines, Love and Wisdom",Hanson,self-help,"If you change your brain, you can change your life.",FALSE,
81,Certified Information Systems Security Professional: Official Practice Tests,"Mike Chapple, David Seidl",educational,"Great teachers like the Buddha, Jesus, Moses, Mohammed, and Gandhi were all born with brains built essentially like anyone else’s―and then they changed their brains in ways that changed the world. Science is now revealing how the flow of thoughts actually sculpts the brain, and more and more, we are learning that it's possible to strengthen positive brain states.",FALSE,
59,CISSP Practice Exams,Harris Ham,educational,,FALSE,
82,ColdFusion MX for Dummies,Ashenfelrer Kocen,educational,,FALSE,
16,Collaborative Intelligence,"Dawna Markova, Angie McArthur",self-help,,FALSE,
65,CompTIA Network + EXAM N10-005,Robb H. Tracy,educational,"Collaborative intelligence, or CQ, is a measure of our ability to think with others on behalf of what matters to us all. It is emerging as a new professional currency at a time when the way we think, interact, and innovate is shifting. In the past, “market share” companies ruled by hierarchy and topdown leadership. Today, the new market leaders are “mind share” companies, where influence is more important than power, and success relies on collaboration and the ability to inspirer.",FALSE,
48,Computability and Unsolvability,Davis Dover,educational,,FALSE,
113,Computer Networks: A Systems Approach,"Peterson Davie, Morgan Kaufman",educational,,FALSE,
66,Copyright Your Software,Fishman,educational,2 copies,FALSE,
27,Cradle,"William McDonnough, Michael Braungart",educational,,FALSE,
108,Crossroads of Twilight,Robert Jordan,fiction,,FALSE,
41,Data Mining Techniques,TBD,educational,,FALSE,
44,Debugging the Development Process,Steve Maguire,educational,,FALSE,
116,Deeper Than Swords,Texas A&M UNiversity,educational,,FALSE,
94,Disoriental,Negar Djavadi,fiction,,FALSE,
69,e-Patent Strategies,LBI Instritute,educational,,FALSE,
138,Eastern USA,lonley planet,non-fiction,,FALSE,
99,Edinburgh,Alexander Chee,non-fiction,,FALSE,
40,Effective java,Bloch,educational,,FALSE,
46,Effective Java,Bloch,educational,,FALSE,
106,Ever Vigilant,Dr. J. Phillip London,business,,FALSE,
58,Expert Cube Development With Microsoft,"Chris Webb, Alberto Ferrari, Marco Russo",educational,"How do successful entrepreneurial leaders become legendary? Many characteristics lead to a legacy of exemplary leadership and enduring success. Entrepreneurial spirit, good character, risk-taking, commitment, initiative, confidence, independence, vision, determination, persistence, and endurance proved to be the winning combination for Dr. J. Phillip (Jack) London. These attributes are interwoven throughout his lifetime as narrated in this memoir that reveals his transformation from a kid living in rural Oklahoma to a midshipman at the US Naval Academy, as a Navy Aviator, followed by President and CEO of a government contracting company and culminating in his role as Executive Chairman and Chairman of the Board of CACI International, a Fortune 500 company employing over 23,000 people in 155 offices worldwide.",FALSE,
34,Exploratory Software Testing,Addison Wesley,educational,,FALSE,
62,Eyewitness Wonders of the World,TBD,non-fiction,,FALSE,
13,Finders Keepers: The Monster Guide to Hiring and Holding the World’s Best Employees,Pete Pogozelski,business,,FALSE,
15,For Love,"Alice Yoo, Eugene Kim",non-fiction,,FALSE,
1,Fundamentals of Biostatistics,Rosner,educational,"This collection of highly creative and incredibly moving visual stories from 25 contemporary photographers has been thoughtfully curated by Alice Yoo and Eugene Kim, founders of the leading art and culture blog My Modern Met. These photo essays capture magnificent displays of ordinary people—parents and children, husbands and wives, grandparents, friends, siblings, and pet owners—doing extraordinary things for love.",FALSE,
87,Giovanni’s Room,James Baldwin,fiction,,FALSE,
31,Give and Take: Why Helping Others Drives Our Success,Adam Grant,self-help,,FALSE,
133,GO for Beginners,Kaoru Iwamoto,educational,,FALSE,
12,Great By Choice,Jim Collins,business,,FALSE,
71,Hire with your Head,Adler,business,"Ten years after the worldwide bestseller Good to Great, Jim Collins returns withanother groundbreaking work, this time to ask: why do some companies thrive inuncertainty, even chaos, and others do not? Based on nine years of research,buttressed by rigorous analysis and infused with engaging stories, Collins andhis colleague Morten Hansen enumerate the principles for building a truly greatenterprise in unpredictable, tumultuous and fast-moving times. This book isclassic Collins: contrarian, data-driven and uplifting.",FALSE,
